parameter_name,Dark side time spent
gene_accession_id,MGI:1332236
mouse_strain,C57BL
pvalue,0.6903585
parameter_id,JAX_LDT_004_001
gene_symbol,Cds2
analysis_id,18qf5u7ve57k30m
mouse_life_stage,Early adult
