gene_symbol,Fpgs
analysis_id,30ft74326c9ont4
parameter_id,MGP_IMM_078_001
pvalue,0.8898016
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
