mouse_strain,129SV
pvalue,0.3459113
parameter_name,Eosinophil cell count
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
analysis_id,4c62ks97ok23xb5
parameter_id,IMPC_HEM_036_001
gene_symbol,Zmynd8
