parameter_name,Shape of vertebrae
pvalue,0.5732865
analysis_id,v9x381f53ij0v4c
gene_symbol,Mecom
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
