gene_symbol,Golm2
mouse_strain,C57BL
gene_accession_id,MGI:2443129
parameter_id,MGP_IMM_129_001
analysis_id,r52i2k15985v403
pvalue,0.807811
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
