analysis_id,0r5hdg947p21w6m
gene_accession_id,MGI:2446186
mouse_strain,C57BL
pvalue,0.6115102
mouse_life_stage,E18.5
parameter_name,Glucose
gene_symbol,LPGAT1
parameter_id,IMPC_CBC_018_001
