parameter_name,ST
mouse_strain,C57BL
gene_symbol,EPRS1
pvalue,0.1537393
analysis_id,10h9llt78s0560w
parameter_id,IMPC_ECG_008_001
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
