analysis_id,qamstl7z49ugc97
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:2443129
gene_symbol,Golm2
pvalue,0.6652297
mouse_strain,C57BL
mouse_life_stage,Early adult
