parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1915678
pvalue,0.8740906
mouse_life_stage,Early adult
gene_symbol,Steap3
analysis_id,ls4oua1304yo042
mouse_strain,C57BL
