analysis_id,2ib6l541l3b7f1d
parameter_name,Response amplitude - S
mouse_life_stage,E9.5
gene_symbol,Eprs1
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:97838
pvalue,0.1974504
mouse_strain,C57BL
