analysis_id,00883qah776lhu4
parameter_id,IMPC_IMM_063_001
pvalue,0.2153058
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,Hspa5
mouse_life_stage,E12.5
parameter_name,B Cells
