parameter_name,Body Weight
gene_accession_id,MGI:106659
analysis_id,oxq7xdo3sj46ml6
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
pvalue,0.9558654
gene_symbol,Sprr1b
