analysis_id,v08i66d5621p985
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
parameter_id,IMPC_HEM_002_001
gene_symbol,Rhbg
mouse_strain,C57BL
parameter_name,Red blood cell count
pvalue,0.839949
