parameter_name,Creatinine
mouse_strain,C57BL
gene_accession_id,MGI:99915
pvalue,0.1694939
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
gene_symbol,Lamb3
analysis_id,fgd74g8djxx94m0
