analysis_id,ob8sm25fcjjh950
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
mouse_strain,C57BL
gene_symbol,Slc39a10
pvalue,0.3735745
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
