analysis_id,tb2i7188le0d2o5
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Eosinophils
pvalue,0.9760932
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
mouse_life_stage,Early adult
