analysis_id,r52u14c9f96tt07
pvalue,0.9519128
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
