analysis_id,776hrr30i0zu8o1
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
pvalue,0.7738702
gene_symbol,Slc39a10
parameter_name,Startle Response
