analysis_id,79d09578b27r25h
pvalue,0.3181935
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
