gene_symbol,Il1r1
mouse_life_stage,Early adult
analysis_id,1kb7812m7r47951
mouse_strain,C57BL
gene_accession_id,MGI:96545
parameter_id,ESLIM_008_001_001
parameter_name,Body position
pvalue,0.1925855
