analysis_id,1241e91pdq50j48
gene_accession_id,MGI:1914836
parameter_name,110dB startle magnitude
pvalue,0.7935197
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
parameter_id,ESLIM_011_001_006
