analysis_id,79ou6ll5m9e57a3
parameter_name,Head morphology
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.08545369
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,MGP_CSD_064_001
