parameter_name,Blood Vessel Morphology
analysis_id,0j1h7ogbq2oa6e7
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_id,IMPC_GEO_011_001
pvalue,0.8216566
