parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
gene_symbol,Ncaph
analysis_id,9ywihkobug4s510
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.29952
