gene_symbol,Abo
gene_accession_id,MGI:2135738
analysis_id,mc04nwo18vyik6k
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.9459561
parameter_id,MGP_IMM_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
