parameter_name,Red blood cell count
mouse_strain,C57BL
analysis_id,8u44zkw9d27x79k
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
gene_symbol,Lamb3
pvalue,0.7291974
gene_accession_id,MGI:99915
