analysis_id,351j3l0p2e5al07
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
pvalue,0.5248152
gene_accession_id,MGI:106100
gene_symbol,Etfdh
parameter_name,Neutrophils
