parameter_name,Eosinophil number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.6514277
analysis_id,uk51k419yy9cw61
parameter_id,MGP_PBI_040_001
gene_symbol,Lime1
