analysis_id,bq124pvjpme79mk
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,C57BL
parameter_id,IMPC_ACS_035_001
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
pvalue,0.3485416
gene_accession_id,MGI:1917604
