gene_symbol,OPN3
pvalue,0.8415037
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
analysis_id,7wo05259m265d57
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
