analysis_id,0t2n4ryzp1unvn5
gene_accession_id,MGI:1915033
parameter_name,Prepulse inhibition - PP2
pvalue,0.568246
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ahctf1
parameter_id,ESLIM_011_001_702
