gene_symbol,Zfp683
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
pvalue,0.3693047
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
analysis_id,11nf1oa626bm0f0
parameter_name,Alpha beta T cell percentage
