analysis_id,635q9q3390j799p
pvalue,0.3717013
parameter_name,Shape of vertebrae
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
gene_symbol,Dnajc8
