parameter_name,% Freezing duration pre-cue-2
pvalue,0.5765807
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
analysis_id,a6q464hlqu3yp92
