parameter_name,Latency to center entry
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
pvalue,0.1900215
analysis_id,ovfse95114n4f10
gene_symbol,Alkbh3
