parameter_name,Iron
gene_symbol,Slc28a2
mouse_strain,C54BL
analysis_id,yn807w7a3u66s77
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
pvalue,0.8857373
parameter_id,IMPC_CBC_011_001
