parameter_id,JAXLA_EYE_092_001
pvalue,0.9257032
mouse_life_stage,Early adult
gene_symbol,Ufc1
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:1913405
analysis_id,73rw02008x9c95c
