analysis_id,38hsj48y2q5ul2p
parameter_id,IMPC_HEM_001_001
gene_symbol,Secisbp2l
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
pvalue,0.287796
parameter_name,White blood cell count
