analysis_id,825ybyqn56n83wm
Gene_symbol,Cldn19
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:3033992
parameter_id,MGP_IMM_110_001
pvalue,0.6338219
mouse_life_stage,Early adult
mouse_strain,C57BL
