parameter_name,Total bilirubin
analysis_id,6vttoq9za7zw2r3
pvalue,0.829436
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
mouse_life_stage,Early adult
