parameter_name,Bone Area
pvalue,0.6184207
gene_accession_id,MGI:2385156
analysis_id,095vr6zav87g3m5
gene_symbol,Sdcbp2
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
