parameter_name,Periphery distance travelled
parameter_id,HRWLLA_OFD_010_001
pvalue,0.2178999
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,9p0nmz50khy596u
