parameter_name,Limb morphology
mouse_strain,C57BL
gene_accession_id,MGI:1914556
pvalue,0.821521
parameter_id,IMPC_GEP_084_001
gene_symbol,Zc2hc1a
analysis_id,i28z44b0608l49d
mouse_life_stage,Early adult
