parameter_name,Glucose response AUC
gene_symbol,Cdin1
parameter_id,ESLIM_004_001_701
pvalue,0.3664484
mouse_life_stage,E9.5
analysis_id,g10yni4v2f73mft
mouse_strain,C57BL
gene_accession_id,MGI:3026886
