analysis_id,94s52k4vk6fgb55
pvalue,0.4981497
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
gene_symbol,Fgb
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_life_stage,E12.5
