parameter_name,Monocyte percentage
gene_accession_id,MGI:1913576
parameter_id,MGP_PBI_016_001
gene_symbol,Dnajc5b
pvalue,0.711158
mouse_life_stage,Early adult
analysis_id,06i39m1fd7c700x
mouse_strain,C57BL
