parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.9702722
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916043
analysis_id,v68v0jv8zjg9758
parameter_id,IMPC_IMM_046_001
gene_symbol,Rab3gap2
