mouse_strain,B6J
pvalue,0.7439837
parameter_name,Ly6Clow monocyte percentage
analysis_id,31449lkui71ljmd
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
