analysis_id,55758o3oids13mr
mouse_strain,C59BL
mouse_life_stage,Early adult
gene_symbol,Hnf4a
pvalue,1.253124
parameter_name,Coat - hair texture / appearance - abdomen
gene_accession_id,MGI:109128
parameter_id,IMPC_CSD_016_001
