analysis_id,8ar6835ym51m1a5
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_name,lens opacity
gene_symbol,Tnni1
pvalue,0.09418352
