mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
gene_symbol,Orc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1328306
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.1243889
analysis_id,k98s0rj1y9a7m51
