parameter_name,Periphery distance travelled
gene_accession_id,MGI:106100
gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.2646505
mouse_life_stage,Early adult
parameter_id,JAX_OFD_010_001
analysis_id,7yt621335schyny
