parameter_name,Mean cell volume
analysis_id,035t4r29a5dbzp7
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
pvalue,0.5550001
gene_accession_id,MGI:2446274
parameter_id,IMPC_HEM_005_001
mouse_strain,C57BL
