analysis_id,1115678qbss4365
gene_accession_id,MGI:1914061
pvalue,0.1653812
parameter_id,IMPC_IPG_011_001
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_name,Initial response to glucose challenge
mouse_strain,C57BL
