parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1400254
parameter_name,Mean-cell-volume
analysis_id,9b2964ef78iah4b
gene_symbol,Ntmt2
