parameter_name,Embryo Size
pvalue,0.4286185
gene_symbol,Casq1
parameter_id,IMPC_GEL_032_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,37zohjim30ygic2
gene_accession_id,MGI:1309468
