parameter_name,Cornea vascularisation
pvalue,0.5115924
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913396
gene_symbol,Maco1
analysis_id,6t88uw9q7x8mmy1
parameter_id,ESLIM_014_001_008
