parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
gene_symbol,Golm2
mouse_life_stage,Early adult
pvalue,0.7743918
gene_accession_id,MGI:2443129
parameter_name,Click-evoked ABR threshold
analysis_id,nj5il97wj9t42td
