parameter_name,Caudal processes
analysis_id,02et9nbr2udy7vs
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
gene_symbol,Lamb3
pvalue,0.1916969
