analysis_id,e93n8ecuj588idh
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.5406795
parameter_name,Potassium
parameter_id,GMC_906_001_005
mouse_strain,C57BL
