analysis_id,y983ar6qv09l694
pvalue,0.7899141
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_id,MGP_MLN_009_001
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
