analysis_id,4617o6t3k10x477
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
pvalue,0.5676928
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
