analysis_id,1k9q64913xi71ut
parameter_id,IMPC_EYE_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
pvalue,0.7991241
