analysis_id,8dd2ri8mm90l33j
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.1189432
gene_symbol,Atg4c
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
